id,prefixe,type_entite1,infixe,type_entite2,suffixe,expression_complete
266,produit de,NOUN,,ADJ,,"produit de [NOUN]  [ADJ] "
267,de caviar de,NOUN,,ADJ,,"de caviar de [NOUN]  [ADJ] "
268,,NOUN,originaire dAustralie,PROPN,australasica," [NOUN] originaire dAustralie [PROPN] australasica"
269,,NOUN,de,NOUN,cosmétique," [NOUN] de [NOUN] cosmétique"
270,fabricant de,NOUN,,ADJ,,"fabricant de [NOUN]  [ADJ] "
271,,NOUN,,ADJ,de cellule," [NOUN]  [ADJ] de cellule"
272,,ADJ,,NOUN,inconnu," [ADJ]  [NOUN] inconnu"
273,ombre de,ADJ,,NOUN,en fleur,ombre de [ADJ]  [NOUN] en fleur
274,,NOUN,,ADJ,algérien à base," [NOUN]  [ADJ] algérien à base"
275,,NOUN,traditionnel,ADJ,à base de," [NOUN] traditionnel [ADJ] à base de"
276,de,NOUN,de,ADJ,,"de [NOUN] de [ADJ] "
277,cuisiner en sauce,ADJ,ou sauce,ADJ,selon,cuisiner en sauce [ADJ] ou sauce [ADJ] selon
278,différent,NOUN,de,NOUN,,"différent [NOUN] de [NOUN] "
279,,NOUN,,ADJ,que lon," [NOUN]  [ADJ] que lon"
280,,NOUN,,ADJ,dans," [NOUN]  [ADJ] dans"
281,,NOUN,de le,PROPN,après," [NOUN] de le [PROPN] après"
282,ajouter de,NOUN,,ADJ,au,ajouter de [NOUN]  [ADJ] au
283,,PROPN,en,NOUN,," [PROPN] en [NOUN] "
284,,ADJ,,NOUN,de xxesiècle," [ADJ]  [NOUN] de xxesiècle"
285,sauce au,NOUN,,ADJ,,"sauce au [NOUN]  [ADJ] "
286,,NOUN,,ADJ,naturel," [NOUN]  [ADJ] naturel"
287,de,NOUN,muria,NOUN,saler qui,de [NOUN] muria [NOUN] saler qui
288,couleur violacer de,NOUN,de,NOUN,,"couleur violacer de [NOUN] de [NOUN] "
289,de,NOUN,,ADJ,par opposition à,de [NOUN]  [ADJ] par opposition à
290,,NOUN,de un,NOUN,," [NOUN] de un [NOUN] "
291,,PROPN,de le,PROPN,," [PROPN] de le [PROPN] "
292,blanc par de,NOUN,,ADJ,,"blanc par de [NOUN]  [ADJ] "
293,,NOUN,veau,NOUN,en meurette," [NOUN] veau [NOUN] en meurette"
294,deux,NOUN,de,NOUN,traditionnel,deux [NOUN] de [NOUN] traditionnel
295,faire avec de,NOUN,,ADJ,,"faire avec de [NOUN]  [ADJ] "
296,lui réclame de,NOUN,,ADJ,,"lui réclame de [NOUN]  [ADJ] "
297,,NOUN,au,NOUN,rouge," [NOUN] au [NOUN] rouge"
298,,NOUN,de,NOUN,au vin rouge," [NOUN] de [NOUN] au vin rouge"
